Date,Biden,Warren,Sanders,Harris,Buttigieg,Biden_CABLETV,Warren_CABLETV,Sanders_CABLETV,Harris_CABLETV,Buttigieg_CABLETV,Biden_Google,Warren_Google,Sanders_Google,Harris_Google,Buttigieg_Google,Biden_MA7,Warren_MA7,Sanders_MA7,Harris_MA7,Buttigieg_MA7,Biden_CABLETV_MA7,Warren_CABLETV_MA7,Sanders_CABLETV_MA7,Harris_CABLETV_MA7,Buttigieg_CABLETV_MA7,Biden_Google_MA7,Warren_Google_MA7,Sanders_Google_MA7,Harris_Google_MA7,Buttigieg_Google_MA7
4-Jan-19,27,4,16,3,0,0.5324,1.5587,0.5785,0.2444,0,2,8,3,1,0,27,4,16,3,0,0.5324,1.5587,0.5785,0.2444,0,2,8,3,1,0
5-Jan-19,27,4,16,3,0,0.3626,3.1498,1.007,0.168,0,2,8,3,1,0,27,4,16,3,0,0.4475,2.35425,0.79275,0.2062,0,2,8,3,1,0
6-Jan-19,27,4,16,3,0,0.2648,3.9025,0.8414,0.2089,0,2,8,2,1,0,27,4,16,3,0,0.3866,2.870333333,0.808966667,0.2071,0,2,8,2.666666667,1,0
7-Jan-19,27,4,16,3,0,2.4141,3.3003,1.1137,0.0519,0,5,5,2,1,0,27,4,16,3,0,0.893475,2.977825,0.88515,0.1683,0,2.75,7.25,2.5,1,0
8-Jan-19,27,4,16,3,0,1.2332,2.3237,0.4344,0.8105,0,3,4,2,8,0,27,4,16,3,0,0.96142,2.847,0.795,0.29674,0,2.8,6.6,2.4,2.4,0
9-Jan-19,27,4,16,3,0,0.22,0.4292,0.3645,0.1532,0,2,2,3,5,0,27,4,16,3,0,0.83785,2.444033333,0.72325,0.272816667,0,2.666666667,5.833333333,2.5,2.833333333,0
10-Jan-19,27,4,16,3,0,0.1818,0.3667,0.1854,0.4152,0,1,2,2,4,0,27,4,16,3,0,0.744128571,2.147271429,0.646414286,0.293157143,0,2.428571429,5.285714286,2.428571429,3,0
11-Jan-19,32,9,15,6,0,0.1422,0.4606,0.3718,0.4987,0,2,2,2,12,0,27.71428571,4.714285714,15.85714286,3.428571429,0,0.688385714,1.9904,0.616885714,0.329485714,0,2.428571429,4.428571429,2.285714286,4.571428571,0
12-Jan-19,32,9,15,6,0,0.4509,0.6324,0.216,0.2523,0,2,3,2,8,0,28.42857143,5.428571429,15.71428571,3.857142857,0,0.701,1.630771429,0.503885714,0.341528571,0,2.428571429,3.714285714,2.142857143,5.571428571,0
13-Jan-19,32,9,15,6,0,0.7287,0.6788,0.5576,0.2582,0,3,2,2,5,0,29.14285714,6.142857143,15.57142857,4.285714286,0,0.767271429,1.170242857,0.463342857,0.348571429,0,2.571428571,2.857142857,2.142857143,6.142857143,0
14-Jan-19,32,9,15,6,0,1.0997,1.1826,0.2765,0.1177,0,2,5,2,3,0,29.85714286,6.857142857,15.42857143,4.714285714,0,0.5795,0.867714286,0.343742857,0.357971429,0,2.142857143,2.857142857,2.142857143,6.428571429,0
15-Jan-19,23.5,4.5,17,5.5,0,0.148,0.073,0.3517,0.454,0,1,2,2,4,0,29.35714286,6.928571429,15.57142857,5.071428571,0,0.424471429,0.546185714,0.331928571,0.307042857,0,1.857142857,2.571428571,2.142857143,5.857142857,0
16-Jan-19,23.5,4.5,17,5.5,0,0.2938,0.5761,0.3425,0.4715,0,1,2,2,4,0,28.85714286,7,15.71428571,5.428571429,0,0.435014286,0.567171429,0.328785714,0.352514286,0,1.714285714,2.571428571,2,5.714285714,0
17-Jan-19,23.5,4.5,17,5.5,0,0.1354,0.222,0.1099,0.0678,0,1,1,2,2,0,28.35714286,7.071428571,15.85714286,5.785714286,0,0.428385714,0.5465,0.318,0.302885714,0,1.714285714,2.428571429,2,5.428571429,0
18-Jan-19,26,6,16,9,0,0.2673,0.1152,0.1264,0.1407,0,2,1,2,2,0,27.5,6.642857143,16,6.214285714,0,0.446257143,0.497157143,0.282942857,0.251742857,0,1.714285714,2.285714286,2,4,0
19-Jan-19,26,6,16,9,0,0.1003,0.0333,0.0976,0.0808,0,2,2,2,2,0,26.64285714,6.214285714,16.14285714,6.642857143,0,0.396171429,0.411571429,0.266028571,0.227242857,0,1.714285714,2.142857143,2,3.142857143,0
20-Jan-19,35.5,4.5,10.5,6,0,0.1338,0.1889,0.0266,0.3503,0,1,4,1,2,0,27.14285714,5.571428571,15.5,6.642857143,0,0.311185714,0.341585714,0.190171429,0.2404,0,1.428571429,2.428571429,1.857142857,2.714285714,0
21-Jan-19,35.5,4.5,10.5,6,0,1.2932,1.1459,1.5775,3.8448,0,3,4,2,74,0,27.64285714,4.928571429,14.85714286,6.642857143,0,0.338828571,0.336342857,0.376028571,0.772842857,0,1.571428571,2.285714286,1.857142857,12.85714286,0
22-Jan-19,35.5,4.5,10.5,6,0,1.0155,0.423,0.8762,2.5053,0,3,3,3,49,0,29.35714286,4.928571429,13.92857143,6.714285714,0,0.462757143,0.386342857,0.450957143,1.065885714,0,1.857142857,2.428571429,2,19.28571429,0
23-Jan-19,35.5,4.5,10.5,6,0,0.2809,0.5238,0.3527,0.7779,0.3837,2,2,2,19,4,31.07142857,4.928571429,13,6.785714286,0,0.460914286,0.378871429,0.452414286,1.109657143,0.054814286,2,2.428571429,2,21.42857143,0.571428571
24-Jan-19,35.5,4.5,10.5,6,0,0.8656,0.606,0.3147,1.2271,0.1095,3,2,2,19,3,32.78571429,4.928571429,12.07142857,6.857142857,0,0.565228571,0.433728571,0.481671429,1.275271429,0.070457143,2.285714286,2.571428571,2,23.85714286,1
25-Jan-19,31,7,15.5,10.5,0,0.1859,0.8068,0.2656,0.29,0,2,3,2,11,1,33.5,5.071428571,12,7.071428571,0,0.5536,0.532528571,0.501557143,1.2966,0.070457143,2.285714286,2.857142857,2,25.14285714,1.142857143
26-Jan-19,31,7,15.5,10.5,0,0.2297,0.2839,0.4901,0.5198,0.0235,2,2,14,12,1,34.21428571,5.214285714,11.92857143,7.285714286,0,0.572085714,0.568328571,0.557628571,1.359314286,0.073814286,2.285714286,2.857142857,3.714285714,26.57142857,1.285714286
27-Jan-19,31,7,15.5,10.5,0,0.411,0.7252,0.3675,2.554,0.0495,2,2,7,44,1,33.57142857,5.571428571,12.64285714,7.928571429,0,0.611685714,0.644942857,0.606328571,1.674128571,0.080885714,2.428571429,2.571428571,4.571428571,32.57142857,1.428571429
